Unnamed: 0,כתובת,סוג נכס,חדרים,קומה,"מ""ר",סכום,גוש,חלקה,נכס,יום,חודש,שנה
1793,"הרשב""א 8",דירה בבית קומות,4.0,2,70.0,1750000,5115,30,7,05,05,2021
1794,"הרשב""א 8",דירה בבית קומות,4.0,2,70.0,1550000,5115,30,7,09,12,2015
1795,"הרשב""א 8",דירה בבית קומות,4.0,2,70.0,1158000,5115,30,7,15,03,2011
1796,"הרשב""א 8",דירה בבית קומות,4.0,2,70.0,685000,5115,30,7,19,12,2004
1797,הגלים 10,דירה בבית קומות,4.0,5,76.51,1750000,6823,181,19,05,05,2021
1798,הגלים 10,דירה בבית קומות,4.0,5,76.51,1405000,6823,181,19,22,10,2014
1799,הגלים 10,דירה בבית קומות,4.0,5,76.51,870000,6823,181,19,05,02,2009
1800,הגלים 10,דירה בבית קומות,4.0,5,76.51,730000,6823,181,19,26,07,2007
1801,ליבין יוסף וריסיה 1,דירה בבית קומות,4.0,6,121.72,2460000,7374,103,19,05,05,2021
1802,ליבין יוסף וריסיה 1,דירה בבית קומות,4.0,6,121.72,1597000,7374,103,19,13,05,2012
1806,"בית""ר 13",דירה בבית קומות,4.0,2,90.06,1650000,3928,771,24,04,05,2021
1807,"בית""ר 13",דירה בבית קומות,4.0,2,90.06,1150000,3928,771,24,29,10,2013
1808,"בית""ר 13",דירה בבית קומות,4.0,2,90.06,1000000,3928,771,24,26,02,2012
1809,"בית""ר 13",דירה בבית קומות,4.0,2,90.06,656000,3928,771,24,08,09,1998
1810,בית הערבה 10,דירה בבית קומות,4.0,1,80.0,2110000,5387,79,11,04,05,2021
1811,בית הערבה 10,דירה בבית קומות,4.0,1,80.0,1150000,5387,79,11,11,06,2009
1812,בית הערבה 10,דירה בבית קומות,4.0,1,80.0,760000,5387,79,11,25,01,1999
1813,גיבשטיין יהושע 3,דירה בבית קומות,4.0,8,80.49,1740000,6288,106,30,04,05,2021
1814,גיבשטיין יהושע 3,דירה בבית קומות,4.0,8,80.49,1692000,6288,106,30,12,11,2017
1815,גיבשטיין יהושע 3,דירה בבית קומות,4.0,8,80.49,970000,6288,106,30,27,07,2009
1816,גיבשטיין יהושע 3,דירה בבית קומות,4.0,8,80.49,661000,6288,106,30,17,02,1999
1820,גשר 5,דירה בבית קומות,4.0,4,84.2,2060000,5387,22,38,03,05,2021
1821,גשר 5,דירה בבית קומות,4.0,4,84.2,733000,5387,22,38,25,03,2007
1827,העוגב 7,דירה בבית קומות,4.0,1,100.0,2125000,5182,62,6,02,05,2021
1828,העוגב 7,דירה בבית קומות,4.0,1,100.0,1140000,5182,62,6,06,08,2008
1829,העוגב 7,דירה בבית קומות,4.0,1,100.0,687000,5182,62,6,16,02,1998
1830,חזון איש 1,דירה בבית קומות,4.0,3,93.0,1550000,3929,1015,6,02,05,2021
1831,חזון איש 1,דירה בבית קומות,4.0,3,93.0,624000,3929,1015,6,09,12,1998
1832,החפץ חיים 10,דירה בבית קומות,4.0,2,84.0,1760000,3933,37,5,02,05,2021
1833,החפץ חיים 10,דירה בבית קומות,4.0,2,84.0,1570000,3933,37,5,02,11,2016
